,index,dog,other,mean_comments_number,subscribers_number,base_metric
29,53115317,1,47,5.8316831683168315,22245.0,5.461604825351045e-06
27,61403518,1,70,52.75247524752475,149590.0,4.9668601451973184e-06
26,33444856,1,57,10.198019801980198,49801.0,3.530610381726235e-06
45,59087769,1,62,0.07920792079207921,40453.0,3.1079736583226395e-08
35,38981260,0,83,7.346534653465347,42281.0,0.0
28,114347775,0,46,10.396039603960396,21914.0,0.0
30,58157078,0,27,11.118811881188119,18709.0,0.0
31,131886625,0,91,5.138613861386139,10874.0,0.0
32,67238316,0,69,25.99009900990099,28279.0,0.0
33,155622384,0,20,103.4950495049505,259342.0,0.0
34,69857476,0,54,8.841584158415841,32765.0,0.0
0,79784235,0,57,1.3267326732673268,15963.0,0.0
25,60396238,0,40,1.188118811881188,16379.0,0.0
37,114359858,0,4,3.485148514851485,6445.0,0.0
38,79010330,0,90,6.603960396039604,184494.0,0.0
40,47246511,0,61,9.247524752475247,25805.0,0.0
41,60397113,0,29,57.82178217821782,482762.0,0.0
42,55248512,0,16,3.3564356435643563,5330.0,0.0
43,64422271,0,25,9.07920792079208,5121.0,0.0
44,59520400,0,11,8.425742574257425,21662.0,0.0
46,160443259,0,46,4.594059405940594,4895.0,0.0
36,63474156,0,58,4.138613861386139,9360.0,0.0
24,121503864,0,76,15.396039603960396,36506.0,0.0
1,120161460,0,50,15.712871287128714,33568.0,0.0
23,152826935,0,81,3.198019801980198,42206.0,0.0
2,108718137,0,79,13.792079207920793,58811.0,0.0
3,174137273,0,19,0.5346534653465347,839.0,0.0
4,164765862,0,6,217.92079207920793,121206.0,0.0
5,127034789,0,28,1.7425742574257426,4182.0,0.0
6,62210730,0,44,5.207920792079208,6505.0,0.0
7,60751871,0,65,14.891089108910892,29098.0,0.0
8,63771931,0,91,2.485148514851485,19314.0,0.0
9,61572251,0,19,1.2673267326732673,4263.0,0.0
10,82379913,0,60,3.118811881188119,27613.0,0.0
11,177513487,0,64,0.7227722772277227,8951.0,0.0
12,196994092,0,6,19.940594059405942,13433.0,0.0
13,71104892,0,60,1.8415841584158417,2016.0,0.0
15,66791325,0,46,8.663366336633663,31101.0,0.0
17,133862163,0,62,4.564356435643564,6366.0,0.0
18,159801610,0,10,7.2772277227722775,816.0,0.0
19,198173958,0,29,2.891089108910891,2692.0,0.0
20,161945823,0,47,9.277227722772277,22013.0,0.0
21,174807433,0,42,0.693069306930693,7805.0,0.0
22,56880803,0,60,0.6435643564356436,1875.0,0.0
47,73888290,0,81,76.27722772277228,97470.0,0.0
14,180921316,0,74,,,
16,180044739,0,78,,,
39,58766328,0,26,,,
